Name,Code,Org_Latitude,Org_Longitude,Org_Altitude,Correct_Latitude,Correct_Longitude,Correct_Altitude,Latitude,Longitude,Altitude,AntennaHeight,Northing,Easting,Height,State,Satellite_Lock,Satellite_View,PDOP,HRMS,VRMS,Age,Date,Time,Base_ID,Base_Latitude,Base_Longitude,Base_Altitude,Base_Distance,CompensationMode,InclineAngle,AzimuthAngle,Correct_n,Correct_e,Correct_h
34,,045d28m39.6564600000s,009d13m33.0016380000s,162.027,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6564600000s,009d13m33.0016380000s,160.011,2.016,5036041.885,517650.640,160.011,FIXED,26,34,1.380,0.014,0.017,0.0,2023-11-13,11:15:09,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,276.756,0,0.00000000,270.00000000,0.000,0.000,0.000
35,,045d28m39.6510180000s,009d13m33.0200820000s,162.029,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6510180000s,009d13m33.0200820000s,160.013,2.016,5036041.718,517651.041,160.013,FIXED,26,34,1.380,0.014,0.017,0.0,2023-11-13,11:15:10,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,276.420,0,0.00000000,270.00000000,0.000,0.000,0.000
36,,045d28m39.6442380000s,009d13m33.0385080000s,162.042,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6442380000s,009d13m33.0385080000s,160.026,2.016,5036041.510,517651.441,160.026,FIXED,25,34,1.380,0.014,0.017,0.0,2023-11-13,11:15:11,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,276.094,0,0.00000000,270.00000000,0.000,0.000,0.000
37,,045d28m39.6360060000s,009d13m33.0570480000s,162.035,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6360060000s,009d13m33.0570480000s,160.019,2.016,5036041.257,517651.844,160.019,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:12,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,275.782,0,0.00000000,270.00000000,0.000,0.000,0.000
38,,045d28m39.6278520000s,009d13m33.0745560000s,162.025,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6278520000s,009d13m33.0745560000s,160.009,2.016,5036041.006,517652.225,160.009,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:13,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,275.491,0,0.00000000,270.00000000,0.000,0.000,0.000
39,,045d28m39.6214740000s,009d13m33.0917460000s,162.020,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6214740000s,009d13m33.0917460000s,160.004,2.016,5036040.810,517652.599,160.004,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:14,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,275.191,0,0.00000000,270.00000000,0.000,0.000,0.000
40,,045d28m39.6152280000s,009d13m33.1090440000s,162.029,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6152280000s,009d13m33.1090440000s,160.013,2.016,5036040.619,517652.975,160.013,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:15,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,274.886,0,0.00000000,270.00000000,0.000,0.000,0.000
41,,045d28m39.6108060000s,009d13m33.1286880000s,162.027,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6108060000s,009d13m33.1286880000s,160.011,2.016,5036040.483,517653.402,160.011,FIXED,26,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:16,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,274.518,0,0.00000000,270.00000000,0.000,0.000,0.000
42,,045d28m39.6028980000s,009d13m33.1500720000s,162.003,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.6028980000s,009d13m33.1500720000s,159.987,2.016,5036040.241,517653.867,159.987,FIXED,26,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:17,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,274.148,0,0.00000000,270.00000000,0.000,0.000,0.000
43,,045d28m39.5943840000s,009d13m33.1649580000s,162.038,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5943840000s,009d13m33.1649580000s,160.022,2.016,5036039.979,517654.191,160.022,FIXED,25,36,1.380,0.014,0.016,0.0,2023-11-13,11:15:18,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,273.911,0,0.00000000,270.00000000,0.000,0.000,0.000
44,,045d28m39.5920380000s,009d13m33.1805640000s,162.059,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5920380000s,009d13m33.1805640000s,160.043,2.016,5036039.907,517654.530,160.043,FIXED,25,36,1.380,0.016,0.019,0.0,2023-11-13,11:15:19,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,273.607,0,0.00000000,270.00000000,0.000,0.000,0.000
45,,045d28m39.5867160000s,009d13m33.1953120000s,162.060,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5867160000s,009d13m33.1953120000s,160.044,2.016,5036039.744,517654.851,160.044,FIXED,24,36,1.380,0.014,0.016,0.0,2023-11-13,11:15:20,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,273.349,0,0.00000000,270.00000000,0.000,0.000,0.000
46,,045d28m39.5827980000s,009d13m33.2139840000s,162.051,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5827980000s,009d13m33.2139840000s,160.035,2.016,5036039.624,517655.256,160.035,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:21,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,272.999,0,0.00000000,270.00000000,0.000,0.000,0.000
47,,045d28m39.5756220000s,009d13m33.2324880000s,162.045,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5756220000s,009d13m33.2324880000s,160.029,2.016,5036039.404,517655.659,160.029,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:22,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,272.682,0,0.00000000,270.00000000,0.000,0.000,0.000
48,,045d28m39.5692980000s,009d13m33.2478480000s,162.039,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5692980000s,009d13m33.2478480000s,160.023,2.016,5036039.210,517655.993,160.023,FIXED,24,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:23,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,272.422,0,0.00000000,270.00000000,0.000,0.000,0.000
49,,045d28m39.5637780000s,009d13m33.2666340000s,162.045,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5637780000s,009d13m33.2666340000s,160.029,2.016,5036039.041,517656.401,160.029,FIXED,25,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:24,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,272.083,0,0.00000000,270.00000000,0.000,0.000,0.000
50,,045d28m39.5579400000s,009d13m33.2829120000s,162.057,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5579400000s,009d13m33.2829120000s,160.041,2.016,5036038.861,517656.755,160.041,FIXED,24,36,1.380,0.014,0.017,0.0,2023-11-13,11:15:25,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,271.798,0,0.00000000,270.00000000,0.000,0.000,0.000
51,,045d28m39.5518020000s,009d13m33.3021120000s,162.064,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5518020000s,009d13m33.3021120000s,160.048,2.016,5036038.673,517657.172,160.048,FIXED,24,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:26,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,271.457,0,0.00000000,270.00000000,0.000,0.000,0.000
52,,045d28m39.5490660000s,009d13m33.3176880000s,162.054,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5490660000s,009d13m33.3176880000s,160.038,2.016,5036038.590,517657.511,160.038,FIXED,24,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:27,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,271.162,0,0.00000000,270.00000000,0.000,0.000,0.000
53,,045d28m39.5442420000s,009d13m33.3285120000s,162.055,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5442420000s,009d13m33.3285120000s,160.039,2.016,5036038.441,517657.746,160.039,FIXED,24,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:28,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.983,0,0.00000000,270.00000000,0.000,0.000,0.000
54,,045d28m39.5429160000s,009d13m33.3369000000s,162.060,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5429160000s,009d13m33.3369000000s,160.044,2.016,5036038.401,517657.928,160.044,FIXED,25,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:29,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.821,0,0.00000000,270.00000000,0.000,0.000,0.000
55,,045d28m39.5388840000s,009d13m33.3470280000s,162.055,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5388840000s,009d13m33.3470280000s,160.039,2.016,5036038.277,517658.148,160.039,FIXED,24,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:30,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.650,0,0.00000000,270.00000000,0.000,0.000,0.000
56,,045d28m39.5361420000s,009d13m33.3603420000s,162.063,0.0000000000000000,0.0000000000000000,0.000000,045d28m39.5361420000s,009d13m33.3603420000s,160.047,2.016,5036038.193,517658.438,160.047,FIXED,25,37,1.380,0.014,0.017,0.0,2023-11-13,11:15:31,RTCM-Ref 18,045d28m42.1269631298s,009d13m45.1661289562s,191.162,270.400,0,0.00000000,270.00000000,0.000,0.000,0.000
